HJH	I	LPC	B1	C1	ND	1	1430240834280	1430240837154	j	
SDS	I	HPC	B1	C1	ND	1	1430240839361	1430240840784	d	
DSD	I	HPC	B1	C1	ND	1	1430240842991	1430240844216	s	
HHH	C	LPC	B1	C1	ND	1	1430240846424	1430240847912	h	
JJJ	C	LPC	B1	C1	ND	2	1430240850119	1430240850800	j	
DDD	C	HPC	B1	C1	ND	2	1430240853007	1430240853968	d	
SSS	C	HPC	B1	C1	ND	1	1430240856176	1430240856951	s	
JHJ	I	LPC	B1	C1	ND	2	1430240859160	1430240860375	h	
DSD	I	HPC	B1	C1	ND	2	1430240862582	1430240863439	s	
SSS	C	HPC	B1	C1	ND	1	1430240865647	1430240866247	s	
JHJ	I	LPC	B1	C1	ND	2	1430240868454	1430240869415	h	
JHJ	I	LPC	B1	C1	ND	1	1430240871624	1430240872415	h	
HJH	I	LPC	B1	C1	ND	1	1430240874624	1430240875271	j	
SSS	C	HPC	B1	C1	ND	2	1430240877479	1430240878303	s	
HJH	I	LPC	B1	C1	ND	1	1430240880510	1430240881271	j	
SSS	C	HPC	B1	C1	ND	1	1430240883478	1430240884295	s	
HJH	I	LPC	B1	C1	ND	1	1430240886503	1430240887839	j	
DDD	C	HPC	B1	C1	ND	2	1430240890046	1430240890959	d	
DDD	C	HPC	B1	C1	ND	2	1430240893165	1430240893839	d	
HJH	I	LPC	B1	C1	ND	2	1430240896046	1430240896911	j	
JHJ	I	LPC	B1	C1	ND	2	1430240899119	1430240899887	h	
HHH	C	LPC	B1	C1	ND	1	1430240902094	1430240902902	h	
DDD	C	HPC	B1	C1	ND	2	1430240905111	1430240906014	d	
SSS	C	HPC	B1	C1	ND	2	1430240908221	1430240908974	s	
SDS	I	HPC	B1	C1	ND	1	1430240911181	1430240911982	d	
HJH	I	LPC	B1	C1	ND	1	1430240914190	1430240914870	j	
JJJ	C	LPC	B1	C1	ND	1	1430240917079	1430240917662	j	
JHJ	I	LPC	B1	C1	ND	1	1430240919870	1430240920614	h	
JJJ	C	LPC	B1	C1	ND	2	1430240922822	1430240923510	j	
HHH	C	LPC	B1	C1	ND	1	1430240925718	1430240926454	h	
HJH	I	LPC	B1	C1	ND	1	1430240928661	1430240929342	j	
JJJ	C	LPC	B1	C1	ND	1	1430240931550	1430240932086	j	
DSD	I	HPC	B1	C1	ND	1	1430240934294	1430240935278	s	
HJH	I	LPC	B1	C1	ND	1	1430240937485	1430240938254	j	
JHJ	I	LPC	B1	C1	ND	2	1430240940462	1430240941222	h	
SSS	C	HPC	B1	C1	ND	2	1430240943428	1430240944341	s	
DDD	C	HPC	B1	C1	ND	1	1430240946549	1430240947573	d	
HJH	I	LPC	B1	C1	ND	2	1430240949780	1430240950581	j	
DSD	I	HPC	B1	C1	ND	1	1430240952790	1430240953573	s	
HHH	C	LPC	B1	C1	ND	2	1430240955782	1430240956557	h	
HJH	I	LPC	B1	C1	ND	2	1430240958765	1430240959429	j	
JHJ	I	LPC	B1	C1	ND	2	1430240961636	1430240962325	h	
SSS	C	HPC	B1	C1	ND	2	1430240964534	1430240965349	s	
DDD	C	HPC	B1	C1	ND	1	1430240967557	1430240968301	d	
