JHJ	I	LPC	B1	C1	ND	2	1430149554618	1430149555578	h	
SSS	C	HPC	B1	C1	ND	2	1430149557785	1430149558607	s	
HJH	I	LPC	B1	C1	ND	2	1430149560814	1430149561647	j	
DDD	C	HPC	B1	C1	ND	1	1430149563855	1430149564783	d	
DDD	C	HPC	B1	C1	ND	2	1430149566991	1430149567511	d	
HHH	C	LPC	B1	C1	ND	1	1430149569717	1430149570663	h	
DDD	C	HPC	B1	C1	ND	2	1430149572870	1430149573783	d	
SSS	C	HPC	B1	C1	ND	2	1430149575991	1430149576679	s	
SSS	C	HPC	B1	C1	ND	2	1430149578886	1430149579519	s	
HHH	C	LPC	B1	C1	ND	2	1430149581726	1430149582663	h	
HJH	I	LPC	B1	C1	ND	2	1430149584871	1430149585559	j	
JHJ	I	LPC	B1	C1	ND	1	1430149587767	1430149588447	h	
HJH	I	LPC	B1	C1	ND	2	1430149590655	1430149591383	j	
JHJ	I	LPC	B1	C1	ND	2	1430149593591	1430149594175	h	
JJJ	C	LPC	B1	C1	ND	1	1430149596383	1430149596791	j	
DDD	C	HPC	B1	C1	ND	2	1430149598998	1430149599814	d	
DSD	I	HPC	B1	C1	ND	2	1430149602022	1430149602518	d	
SSS	C	HPC	B1	C1	ND	2	1430149604726	1430149605270	s	
DDD	C	HPC	B1	C1	ND	2	1430149607479	1430149608014	d	
HHH	C	LPC	B1	C1	ND	2	1430149610222	1430149611086	h	
DSD	I	HPC	B1	C1	ND	2	1430149613293	1430149613918	s	
DDD	C	HPC	B1	C1	ND	1	1430149616126	1430149616766	d	
HJH	I	LPC	B1	C1	ND	2	1430149618973	1430149619614	j	
SSS	C	HPC	B1	C1	ND	2	1430149621822	1430149622566	s	
JJJ	C	LPC	B1	C1	ND	1	1430149624773	1430149625726	j	
JHJ	I	LPC	B1	C1	ND	1	1430149627933	1430149628526	h	
SDS	I	HPC	B1	C1	ND	1	1430149630733	1430149631294	d	
HJH	I	LPC	B1	C1	ND	1	1430149633500	1430149634270	j	
HJH	I	LPC	B1	C1	ND	2	1430149636478	1430149637374	j	
DDD	C	HPC	B1	C1	ND	1	1430149639582	1430149640254	d	
JHJ	I	LPC	B1	C1	ND	1	1430149642462	1430149643254	h	
SSS	C	HPC	B1	C1	ND	2	1430149645462	1430149645933	s	
HJH	I	LPC	B1	C1	ND	1	1430149648141	1430149648877	j	
DDD	C	HPC	B1	C1	ND	1	1430149651085	1430149651885	d	
SSS	C	HPC	B1	C1	ND	1	1430149654092	1430149654725	s	
JHJ	I	LPC	B1	C1	ND	2	1430149656933	1430149657701	h	
DDD	C	HPC	B1	C1	ND	2	1430149659908	1430149660445	s	
JHJ	I	LPC	B1	C1	ND	2	1430149662653	1430149663445	h	
HJH	I	LPC	B1	C1	ND	1	1430149665652	1430149666269	j	
HJH	I	LPC	B1	C1	ND	1	1430149668478	1430149669165	j	
SSS	C	HPC	B1	C1	ND	1	1430149671373	1430149672077	s	
SDS	I	HPC	B1	C1	ND	1	1430149674284	1430149674877	d	
HJH	I	LPC	B1	C1	ND	1	1430149677084	1430149677717	j	
JJJ	C	LPC	B1	C1	ND	1	1430149679925	1430149680573	j	
JHJ	I	LPC	B1	C1	ND	1	1430149682781	1430149683525	h	
SDS	I	HPC	B1	C1	ND	2	1430149685732	1430149686381	d	
DDD	C	HPC	B1	C1	ND	2	1430149688589	1430149689268	d	
SDS	I	HPC	B1	C1	ND	1	1430149691476	1430149692020	d	
DDD	C	HPC	B1	C1	ND	1	1430149694227	1430149694668	d	
DSD	I	HPC	B1	C1	ND	1	1430149696876	1430149697348	s	
SSS	C	HPC	B1	C1	ND	2	1430149699556	1430149700084	s	
SSS	C	HPC	B1	C1	ND	1	1430149702292	1430149702660	s	
SDS	I	HPC	B1	C1	ND	1	1430149704867	1430149705404	d	
DDD	C	HPC	B1	C1	ND	2	1430149707612	1430149708060	d	
HJH	I	LPC	B1	C1	ND	1	1430149710266	1430149710876	j	
JHJ	I	LPC	B1	C1	ND	2	1430149713084	1430149713732	h	
HJH	I	LPC	B1	C1	ND	1	1430149715941	1430149716492	j	
SSS	C	HPC	B1	C1	ND	1	1430149718700	1430149719444	s	
DSD	I	HPC	B1	C1	ND	2	1430149721652	1430149722132	s	
JHJ	I	LPC	B1	C1	ND	1	1430149724339	1430149725052	h	
HHH	C	LPC	B1	C1	ND	2	1430149727260	1430149727756	h	
HJH	I	LPC	B1	C1	ND	1	1430149729963	1430149730524	j	
DDD	C	HPC	B1	C1	ND	2	1430149732731	1430149733467	d	
JHJ	I	LPC	B1	C1	ND	2	1430149735675	1430149736515	h	
JHJ	I	LPC	B1	C1	ND	2	1430149738724	1430149739203	h	
HJH	I	LPC	B1	C1	ND	2	1430149741412	1430149741883	j	
HJH	I	LPC	B1	C1	ND	1	1430149744090	1430149744635	j	
SSS	C	HPC	B1	C1	ND	2	1430149746843	1430149747411	s	
JJJ	C	LPC	B1	C1	ND	2	1430149749618	1430149750315	j	
JJJ	C	LPC	B1	C1	ND	1	1430149752523	1430149753035	j	
JHJ	I	LPC	B1	C1	ND	2	1430149755242	1430149755795	h	
DDD	C	HPC	B1	C1	ND	1	1430149758003	1430149758499	s	
HHH	C	LPC	B1	C1	ND	2	1430149760707	1430149762907	h	
HJH	I	LPC	B1	C1	ND	1	1430149765114	1430149765651	j	
JHJ	I	LPC	B1	C1	ND	2	1430149767857	1430149768395	h	
DDD	C	HPC	B1	C1	ND	2	1430149770602	1430149771315	d	
SSS	C	HPC	B1	C1	ND	1	1430149773523	1430149774011	s	
JHJ	I	LPC	B1	C1	ND	2	1430149776219	1430149776834	h	
JHJ	I	LPC	B1	C1	ND	1	1430149779043	1430149779530	h	
SSS	C	HPC	B1	C1	ND	1	1430149781739	1430149782267	s	
DSD	I	HPC	B1	C1	ND	2	1430149784475	1430149785034	s	
DDD	C	HPC	B1	C1	ND	2	1430149787242	1430149787786	d	
SSS	C	HPC	B1	C1	ND	1	1430149789995	1430149790466	s	
JJJ	C	LPC	B1	C1	ND	2	1430149792672	1430149793226	d	
HJH	I	LPC	B1	C1	ND	2	1430149795433	1430149796210	j	
HJH	I	LPC	B1	C1	ND	1	1430149798417	1430149798874	j	
SSS	C	HPC	B1	C1	ND	2	1430149801082	1430149801562	s	
